study_name,island,clutch_completion,date_egg,bill_length,bill_depth,flipper_length,body_mass,sex,delta_15,delta_13,study_day
PAL0809,Dream,Yes,2008-11-24,49.0,19.5,210.0,3950.0,MALE,9.53262,-24.66867,381
PAL0809,Dream,Yes,2008-11-24,46.2,17.5,187.0,3650.0,FEMALE,9.61734,-24.66188,381
PAL0809,Dream,Yes,2008-11-14,50.9,19.1,196.0,3550.0,MALE,10.02372,-24.86594,371
PAL0809,Dream,Yes,2008-11-14,45.5,17.0,196.0,3500.0,FEMALE,9.36493,-24.66259,371
PAL0910,Dream,Yes,2009-11-17,50.9,17.9,196.0,3675.0,FEMALE,9.43684,-24.16566,739
PAL0910,Dream,Yes,2009-11-17,50.8,18.5,201.0,4450.0,MALE,9.45827,-24.35575,739
PAL0910,Dream,Yes,2009-11-27,50.1,17.9,190.0,3400.0,FEMALE,9.46819,-24.45721,749
PAL0910,Dream,Yes,2009-11-27,49.0,19.6,212.0,4300.0,MALE,9.34089,-24.45189,749
PAL0910,Dream,Yes,2009-11-23,51.5,18.7,187.0,3250.0,MALE,9.6895,-24.43062,745
PAL0910,Dream,Yes,2009-11-23,49.8,17.3,198.0,3675.0,FEMALE,9.32169,-24.41562,745
PAL0910,Dream,Yes,2009-11-21,48.1,16.4,199.0,3325.0,FEMALE,9.46929,-24.48403,743
PAL0910,Dream,Yes,2009-11-21,51.4,19.0,201.0,3950.0,MALE,9.43782,-24.36202,743
PAL0910,Dream,Yes,2009-11-23,45.7,17.3,193.0,3600.0,FEMALE,9.415,-24.805,745
PAL0910,Dream,Yes,2009-11-23,50.7,19.7,203.0,4050.0,MALE,9.93727,-24.59066,745
PAL0910,Dream,Yes,2009-11-27,42.5,17.3,187.0,3350.0,FEMALE,9.56534,-24.60882,749
PAL0910,Dream,Yes,2009-11-27,52.2,18.8,197.0,3450.0,MALE,9.77528,-24.56481,749
PAL0910,Dream,Yes,2009-11-21,45.2,16.6,191.0,3250.0,FEMALE,9.62357,-24.78984,743
PAL0910,Dream,Yes,2009-11-21,49.3,19.9,203.0,4050.0,MALE,9.88809,-24.59513,743
PAL0910,Dream,Yes,2009-11-21,50.2,18.8,202.0,3800.0,MALE,9.74492,-24.404,743
PAL0910,Dream,Yes,2009-11-21,45.6,19.4,194.0,3525.0,FEMALE,9.46985,-24.65786,743
PAL0910,Dream,Yes,2009-11-27,46.8,16.5,189.0,3650.0,FEMALE,9.65061,-24.48153,749
PAL0910,Dream,Yes,2009-11-19,45.7,17.0,195.0,3650.0,FEMALE,9.26715,-24.31912,741
PAL0910,Dream,Yes,2009-11-19,55.8,19.8,207.0,4000.0,MALE,9.70465,-24.53494,741
PAL0910,Dream,No,2009-11-21,43.5,18.1,202.0,3400.0,FEMALE,9.37608,-24.40753,743
PAL0910,Dream,No,2009-11-21,49.6,18.2,193.0,3775.0,MALE,9.4618,-24.70615,743
PAL0910,Dream,Yes,2009-11-21,50.8,19.0,210.0,4100.0,MALE,9.98044,-24.68741,743
PAL0910,Dream,Yes,2009-11-21,50.2,18.7,198.0,3775.0,FEMALE,9.39305,-24.25255,743
